Part No,Description,min350,max350,min375,max375,min400,max400,,Curing Parameters
30-7065,ANSI 70 Gray  30-7065  Gloss  Smooth  Polyester Powder,20,25,15,20,10,15,,20-25min/350F - 15-20min/375F - 10-15mn/400F
149/11400,RAL 9003 Signal White  149/11400  Smooth Glossy  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
149/31040,RAL 3020  Traffic Red  149/31040  Glossy Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
149/40760,RAL 5017 Traffic Blue  149/40760  High Gloss  Smooth  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
149/52890,RAL 6002 Leaf Green  149/52890  High Gloss  Smooth  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
149/75470,RAL 7040 Window grey  49/75470  Smooth Glossy  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
39/20010,Safety Orange  39/20010  High Gloss  Smooth  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
49/22580,RAL 1003 Signal Yellow  149/22580  Smooth Glossy  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
49/31900,RAL 3005 Wine Red  149/31900  Smooth Glossy  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
49/52720,RAL 6018 Yellow-Green  149/52720  High Gloss  Smooth  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
49/52880,RAL 6003 Olive Green  49/52880  High Gloss  Smooth  Polyester Powder,15,25,8,18,5,15,,15min/338F/170C-5min/392F/200C
HR-0287-LT,RAL 3002 Carmine Red  HR-0287-LT  Low Gloss  Sandtex  Hybrid Powder,15,25,-9999,-9999,-9999,-9999,,15min/350F
PL-0725-LT,RAL 5010 Gentian Blue  PL-0725-LT  Low Gloss  Sandtex  Polyester-Epoxy Blend (Hybrid),15,25,-9999,-9999,-9999,-9999,,15min/350F
PN-T88036,WHITE RAL 9016 PNT88036 POLYESTER,15,25,10,15,7,12,,7min/400F - 10min/375F - 15min/350F
PW-113-MT,"White Sandtex, Medium Gloss, Fine Texture, Polyester Powder",15,25,-9999,-9999,-9999,-9999,,15min/350F
149/31900,"RAL 3005 Wine Red, 149/31900, Smooth Glossy, Polyester Powder Touch up Marker",15,25,-9999,-9999,-9999,-9999,,15min/350F
T209-CL01,"Clear, T209-CL01, Low Cure Gloss, Polyester Powder",10,20,-9999,-9999,-9999,-9999,,10min/350F
C031-WH120,C031-WH120  White Texture Semi-Gloss  Polyester Powder,10,20,-9999,-9999,-9999,-9999,,10min/350F
C241-GR484,C241-GR484 Polyester Semi Gloss Texture  Dark Gray ( 50 lbs ),10,20,-9999,-9999,-9999,-9999,,10min/350F
T204-GR1544,GRAYSTONE (997212) T204-GR1544  LIGHT GRAY TEXTURED semi gloss smooth POWDER COAT,10,20,-9999,-9999,-9999,-9999,,10min/350F
409/80360,Matte Black  409/80360  Low Gloss  Smooth  Hybrid Powder,15,30,12.5,21.5,10,15,,15-30min/356F - 10-15min/392F
E300-BK11,Federal Standard 595 Color FS 37038 Flat Black  E300-BK11  Flat  Smooth  Epoxy Powder,-9999,-9999,-9999,-9999,10,15,,10min/400F
WHN02471,Federal Standard 595 Color FS 27722 White  Smooth Semi Gloss  Polyester Powder,-9999,-9999,-9999,-9999,10,15,,10mn/400F
H302-BK46,RAL 9005 Jet Black  H302-BK46  Smooth  Hybrid Powder,-9999,-9999,-9999,-9999,10,15,,10min/400F
HGD47QF,Resicoat® EL HGD47QF ECA-1283 Red 3332,-9999,-9999,-9999,-9999,10,15,,Preheat 400F - Postheat 10min/450F
HNF35QF,Resicoat® EL HNF35QF ECB-1363A Black 2701,-9999,-9999,-9999,-9999,10,15,,Preheat 400F - Postheat 10min/450F
HR-105-H,Fire Red  HR-105-H  High Gloss  Smooth  Hybrid Powder,-9999,-9999,12,17,-9999,-9999,,12min/375F
JD311QF,Wheat   JD311QF  Low Gloss  Sandtex  Polyester Powder,-9999,-9999,15,20,-9999,-9999,,15min/375F
P000-BG631,Federal Standard 595 Color FS 33446 Desert Tan  P000-BG631  Smooth  Flat  Polyester Powder,-9999,-9999,-9999,-9999,12,17,,12min/400F
P003-GR01,Federal Standard 595 Color FS 26307 Gray  P003-GR01  Semi Gloss  Smooth  Polyester Polyurethane,-9999,-9999,-9999,-9999,12,17,,12min/400F
PA-0183-G,ASA 61 Grey  PA-0183-G  Gloss  Smooth  Polyester Powder,-9999,-9999,15,20,-9999,-9999,,15min/375F
PA-1083-LT,RAL 7035 Light Gray  PA-1083-LT  Low Gloss  Sandtex  Polyester Powder,-9999,-9999,15,20,-9999,-9999,,15min/375F
PA-191-LT,Graphite Sandtex  PA-191-LT  Low Gloss  Fine Texture  Polyester Powder,-9999,-9999,15,20,-9999,-9999,,15min/375F
PA-388-M,Retro Grey  PA-388-M  Medium Gloss  Smooth  Polyester Powder,-9999,-9999,15,20,-9999,-9999,,15min/375F
PA060QF,Interpon 200  PA060QF  Marker Board White  Smooth  Glossy,-9999,-9999,30,50,15,30,,10-20min/425F - 15-30min/400F - 30-50min/375F
PB-134-LT,Black Sandtex  PB-134-LT  Low Gloss  Fine Texture  Polyester Powder,-9999,-9999,15,20,-9999,-9999,,15min/375F
PFY601S9055,Aero Yellow  PFY601S9  High Gloss  Smooth  Polyester Powder,-9999,-9999,-9999,-9999,10,15,,10min/400F
PI-176-H,Almond  PI-176-H  High Gloss  Smooth  Polyester Powder,-9999,-9999,15,20,-9999,-9999,,15min/375F
PPB-4761,"Fog Clear, Satin Finish",-9999,-9999,-9999,-9999,10,15,,10min/400F
PW-206-LT,"Storm White Sandtex, Low Gloss, Fine Texture, Polyester Powder",-9999,-9999,15,20,-9999,-9999,,15min/375F
Gray Nylon11 Powdercoat,Gray Nylon11 Powdercoat,-9999,-9999,15,20,-9999,-9999,,15min/370F
 T009-BK12,"Federal Standard 595 Color FS 17038 Black, T009-BK12, Full Gloss, Smooth, Polyester Powder",-9999,-9999,-9999,-9999,10,15,,10min/400F
